system:index,classification,.geo
0_97,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.2183063790392,23.69306561865238]}"
0_98,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.26322214324517,23.69306561865238]}"
0_99,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.30813790745115,23.69306561865238]}"
0_100,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.35305367165714,23.69306561865238]}"
0_101,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.3979694358631,23.69306561865238]}"
0_102,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.44288520006909,23.69306561865238]}"
0_103,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.48780096427505,23.69306561865238]}"
0_104,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.53271672848103,23.69306561865238]}"
0_105,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.57763249268702,23.69306561865238]}"
0_106,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.62254825689298,23.69306561865238]}"
0_107,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.66746402109897,23.69306561865238]}"
0_108,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.71237978530493,23.69306561865238]}"
0_109,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.75729554951091,23.69306561865238]}"
0_110,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.8022113137169,23.69306561865238]}"
0_111,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.84712707792286,23.69306561865238]}"
0_112,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.89204284212884,23.69306561865238]}"
0_113,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.93695860633483,23.69306561865238]}"
0_114,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[82.9818743705408,23.69306561865238]}"
0_115,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.02679013474678,23.69306561865238]}"
0_116,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.07170589895274,23.69306561865238]}"
0_117,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.11662166315872,23.69306561865238]}"
0_118,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.1615374273647,23.69306561865238]}"
0_119,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.20645319157067,23.69306561865238]}"
0_120,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.25136895577666,23.69306561865238]}"
0_121,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[83.29628471998262,23.69306561865238]}"
