system:index,classification,.geo
0_82,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86397423672766,15.877722646812542]}"
0_83,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.90889000093362,15.877722646812542]}"
0_84,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9538057651396,15.877722646812542]}"
0_85,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.99872152934559,15.877722646812542]}"
0_86,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.04363729355155,15.877722646812542]}"
0_87,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.08855305775754,15.877722646812542]}"
0_88,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1334688219635,15.877722646812542]}"
0_89,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.17838458616949,15.877722646812542]}"
0_90,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22330035037547,15.877722646812542]}"
0_91,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.26821611458143,15.877722646812542]}"
0_92,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31313187878742,15.877722646812542]}"
0_93,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35804764299338,15.877722646812542]}"
0_94,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40296340719937,15.877722646812542]}"
0_95,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.4148165946679,15.922638411018518]}"
0_96,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,15.922638411018518]}"
0_97,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.922638411018518]}"
0_98,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,15.922638411018518]}"
0_99,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,15.922638411018518]}"
0_100,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.63939541569778,15.922638411018518]}"
0_101,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.68431117990374,15.922638411018518]}"
0_102,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72922694410973,15.922638411018518]}"
0_103,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7741427083157,15.922638411018518]}"
0_104,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81905847252168,15.922638411018518]}"
0_105,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86397423672766,15.922638411018518]}"
0_106,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.90889000093362,15.922638411018518]}"
0_107,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9538057651396,15.922638411018518]}"
0_108,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.99872152934559,15.922638411018518]}"
0_109,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.04363729355155,15.922638411018518]}"
0_110,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.08855305775754,15.922638411018518]}"
0_111,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1334688219635,15.922638411018518]}"
0_112,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.17838458616949,15.922638411018518]}"
0_113,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22330035037547,15.922638411018518]}"
0_114,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.26821611458143,15.922638411018518]}"
0_115,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31313187878742,15.922638411018518]}"
0_116,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35804764299338,15.922638411018518]}"
0_117,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40296340719937,15.922638411018518]}"
0_118,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.44787917140535,15.922638411018518]}"
0_119,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.49279493561131,15.922638411018518]}"
0_120,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.4148165946679,15.967554175224494]}"
0_121,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,15.967554175224494]}"
0_122,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,15.967554175224494]}"
0_123,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,15.967554175224494]}"
0_124,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,15.967554175224494]}"
0_125,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.63939541569778,15.967554175224494]}"
0_126,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.68431117990374,15.967554175224494]}"
0_127,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72922694410973,15.967554175224494]}"
0_128,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7741427083157,15.967554175224494]}"
0_129,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81905847252168,15.967554175224494]}"
0_130,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86397423672766,15.967554175224494]}"
0_131,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.90889000093362,15.967554175224494]}"
0_132,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9538057651396,15.967554175224494]}"
0_133,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.99872152934559,15.967554175224494]}"
0_134,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.04363729355155,15.967554175224494]}"
0_135,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.08855305775754,15.967554175224494]}"
0_136,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1334688219635,15.967554175224494]}"
0_137,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.17838458616949,15.967554175224494]}"
0_138,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22330035037547,15.967554175224494]}"
0_139,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.26821611458143,15.967554175224494]}"
0_140,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31313187878742,15.967554175224494]}"
0_141,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.35804764299338,15.967554175224494]}"
0_142,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.40296340719937,15.967554175224494]}"
0_143,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.44787917140535,15.967554175224494]}"
0_144,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.4148165946679,16.01246993943047]}"
0_145,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.45973235887386,16.01246993943047]}"
0_146,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.50464812307985,16.01246993943047]}"
0_147,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.54956388728581,16.01246993943047]}"
0_148,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.5944796514918,16.01246993943047]}"
0_149,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.63939541569778,16.01246993943047]}"
0_150,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.68431117990374,16.01246993943047]}"
0_151,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.72922694410973,16.01246993943047]}"
0_152,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.7741427083157,16.01246993943047]}"
0_153,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.81905847252168,16.01246993943047]}"
0_154,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.86397423672766,16.01246993943047]}"
0_155,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.90889000093362,16.01246993943047]}"
0_156,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.9538057651396,16.01246993943047]}"
0_157,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[73.99872152934559,16.01246993943047]}"
0_158,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.04363729355155,16.01246993943047]}"
0_159,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.08855305775754,16.01246993943047]}"
0_160,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.1334688219635,16.01246993943047]}"
0_161,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.17838458616949,16.01246993943047]}"
0_162,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.22330035037547,16.01246993943047]}"
0_163,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.26821611458143,16.01246993943047]}"
0_164,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.31313187878742,16.01246993943047]}"
